Year,Anomaly,Region,dt
1910,-0.65,Hawaiian Region,1910-06-01
1911,-0.79,Hawaiian Region,1911-06-01
1912,-0.25,Hawaiian Region,1912-06-01
1913,-0.7,Hawaiian Region,1913-06-01
1914,-0.15,Hawaiian Region,1914-06-01
1915,0.45,Hawaiian Region,1915-06-01
1916,-0.39,Hawaiian Region,1916-06-01
1917,-0.99,Hawaiian Region,1917-06-01
1918,-0.17,Hawaiian Region,1918-06-01
1919,-0.25,Hawaiian Region,1919-06-01
1920,0.3,Hawaiian Region,1920-06-01
1921,-0.17,Hawaiian Region,1921-06-01
1922,-0.47,Hawaiian Region,1922-06-01
1923,-0.32,Hawaiian Region,1923-06-01
1924,-0.11,Hawaiian Region,1924-06-01
1925,-0.46,Hawaiian Region,1925-06-01
1926,0.29,Hawaiian Region,1926-06-01
1927,-0.05,Hawaiian Region,1927-06-01
1928,0.16,Hawaiian Region,1928-06-01
1929,-0.17,Hawaiian Region,1929-06-01
1930,-0.22,Hawaiian Region,1930-06-01
1931,0.34,Hawaiian Region,1931-06-01
1932,-0.79,Hawaiian Region,1932-06-01
1933,-1.13,Hawaiian Region,1933-06-01
1934,0.2,Hawaiian Region,1934-06-01
1935,0.08,Hawaiian Region,1935-06-01
1936,0.3,Hawaiian Region,1936-06-01
1937,0.3,Hawaiian Region,1937-06-01
1938,0.32,Hawaiian Region,1938-06-01
1939,-0.39,Hawaiian Region,1939-06-01
1940,1.09,Hawaiian Region,1940-06-01
1941,0.94,Hawaiian Region,1941-06-01
1942,0.29,Hawaiian Region,1942-06-01
1943,0.57,Hawaiian Region,1943-06-01
1944,0.01,Hawaiian Region,1944-06-01
1945,0.67,Hawaiian Region,1945-06-01
1946,0.14,Hawaiian Region,1946-06-01
1947,0.51,Hawaiian Region,1947-06-01
1948,0.24,Hawaiian Region,1948-06-01
1949,-0.64,Hawaiian Region,1949-06-01
1950,-0.41,Hawaiian Region,1950-06-01
1951,0.36,Hawaiian Region,1951-06-01
1952,-0.51,Hawaiian Region,1952-06-01
1953,-0.02,Hawaiian Region,1953-06-01
1954,-0.14,Hawaiian Region,1954-06-01
1955,-1.15,Hawaiian Region,1955-06-01
1956,-0.77,Hawaiian Region,1956-06-01
1957,0.22,Hawaiian Region,1957-06-01
1958,0.23,Hawaiian Region,1958-06-01
1959,0.38,Hawaiian Region,1959-06-01
1960,0.33,Hawaiian Region,1960-06-01
1961,0.2,Hawaiian Region,1961-06-01
1962,0.07,Hawaiian Region,1962-06-01
1963,0.01,Hawaiian Region,1963-06-01
1964,0.15,Hawaiian Region,1964-06-01
